Source:,C:\Users\AaronN\Desktop\Personal\PersonalProjects\WearabkeRockClimbingTool\Climbing_Main_Rev_A\Climbing_Main_Rev_A.sch,,,,,
Date:,12/7/2021 23:54,,,,,
Tool:,Eeschema (5.1.10)-1,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/AaronsFavoriteBOMScript.py,,,,,
Component Count:,54,,,,,
Ref,Qnty,Value,Cmp name,Description,Manufacturer,Part Number
"C1, C3, C5, C11, C18, ",5,0.1uF,0.1uF,CAP CER 0.1UF 25V X5R 0402,Samsung Electro-Mechanics,1276-1043-1-ND
"C2, C4, C6, C8, C9, C17, ",6,2.2uF,2.2uF,CAP CER 2.2UF 10V X5R 0603,Samsung Electro-Mechanics,1276-1085-1-ND
"C7, C10, C12, C13, C14, C15, C16, ",7,10uF,10uF,CAP CER 10UF 16V X5R 0805,Samsung Electro-Mechanics,1276-2893-1-ND
"CN1, ",1,USB4110-GF-A_REVB,USB4110-GF-A_REVB,SMD USB 2.0-only Type-C Receptacle connector,GCT,2073-USB4110-GF-A-1-ND
"CN2, ",1,U.FL-R-SMT(10),U.FL-R-SMT(10),CONN U.FL RCPT STR 50 OHM SMD,Hirose Electric Co Ltd,H9161CT-ND
"CN3, ",1,532610271,532610271,PICOBLADE CONN HEADER SMD R/A 2POS 1.25MM,Molex,WM7620CT-ND
"LED1, ",1,LTST-C19HE1WT,LTST-C19HE1WT,LED RGB DIFFUSED CHIP SMD,Lite-On Inc.,160-2162-1-ND
"Q1, Q2, Q5, ",3,"NX3008PBK,215","NX3008PBK,215",MOSFET P-CH 30V 230MA TO236AB,Nexperia USA Inc.,1727-1281-1-ND
"Q3, Q4, ",2,"BSS138BKW,115","BSS138BKW,115",MOSFET N-CH 60V 320MA SOT323,Nexperia USA Inc.,1727-1262-1-ND
"R1, ",1,330,330,RES 330 OHM 1% 1/16W 0402,YAGEO,311-330LRCT-ND
"R2, R11, R12, R15, R16, R17, R18, R19, R20, ",9,4.7k,4.7k,RES 4.7K OHM 1% 1/16W 0402,Stackpole Electronics Inc,RMCF0402FT4K70CT-ND
"R3, R4, ",2,5.1k,5.1k,RES 5.1K OHM 1% 1/16W 0402,YAGEO,311-5.10KLRCT-ND
"R5, R6, R9, R10, ",4,0,0,RES 0 OHM JUMPER 1/16W 0402,Stackpole Electronics Inc,RMCF0402ZT0R00CT-ND
"R7, ",1,1.8k,1.8k,RES 1.8K OHM 1% 1/16W 0402,Stackpole Electronics Inc,RMCF0402FT1K80CT-ND
"R8, ",1,10k,10k,RES 10K OHM 1% 1/16W 0402,Stackpole Electronics Inc,RMCF0402FT10K0CT-ND
"R13, ",1,390,390,RES 390 OHM 1% 1/16W 0402,Stackpole Electronics Inc,RMCF0402FT390RCT-ND
"R14, ",1,1k,1k,RES 1K OHM 1% 1/16W 0402,Stackpole Electronics Inc,RMCF0402FT1K00CT-ND
"SW1, SW2, ",2,FSM2JSMAA,FSM2JSMAA,SMD Momentary PushButton,FSM2JSMAA,450-3355-ND
"SW3, ",1,PB400EEQR1BLK,PB400EEQR1BLK,"Pushbutton Switch DPST Standard Through Hole, Right Angle",E-Switch,EG5547-ND
"U1, ",1,CD-PA1616S,CD-PA1616S,Adafruit Ultimate GPS Module,Adafruit Industries LLC,1528-5186-ND
"U2, ",1,MIC5528-3.3YMX-TR,MIC5528-3.3YMX-TR,IC REG LINEAR 3.3V 500MA 6XTDFN,Microchip Technology,576-4452-1-ND
"U3, ",1,BQ24232HARGTR,BQ24232HARGTR,IC BATT CHG LI-ION 1CELL 16QFN,Texas Instruments,296-49554-1-ND
"U4, ",1,Teensy-LC,Teensy-LC,,SparkFun Electronics,1568-1233-ND
